구분(1)	구분(2)	구분(3)	구분(4)	2023.03	2023.04	2023.05	2023.06	2023.07	2023.08
도시대기	서울	중구	중구	0.0288	0.0217	0.0199	0.0165	0.0179	0.0159
도시대기	서울	종로구	종로구	0.0271	0.0183	0.0165	0.014	0.0146	0.0131
도시대기	서울	중랑구	중랑구	0.0275	0.0185	0.0163	0.0172	0.0163	0.0088
도시대기	서울	동대문구	동대문구	0.0279	0.0191	0.0161	0.013	0.0126	0.011
도시대기	서울	은평구	은평구	0.0193	0.0126	0.0127	0.0107	0.0098	0.0086
도시대기	서울	마포구	마포구	0.029	0.0192	0.0179	0.0151	0.0149	0.0146
도시대기	서울	영등포구	영등포구	0.0311	0.0218	0.0212	0.0166	0.016	0.0159
도시대기	서울	동작구	동작구	0.0273	0.0178	0.0158	0.013	0.0118	0.0125
도시대기	서울	관악구	관악구	0.0296	0.0202	0.0195	0.0161	0.0144	0.0137
도시대기	서울	강남구	강남구	0.0315	0.0204	0.0199	0.0172	0.0161	0.0152
도시대기	서울	금천구	금천구	0.0315	0.0172	0.0149	0.0137	0.0113	0.0115
도시대기	서울	강동구	강동구	0.0221	0.0167	0.0164	0.0132	0.0122	0.01
도시대기	서울	강북구	강북구	0.0203	0.0144	0.0111	0.0089	0.0088	0.0075
도시대기	서울	성북구	성북구	0.032	0.0221	0.0182	0.0149	0.0144	0.0133
도시대기	서울	용산구	용산구	0.0297	0.0201	0.0192	0.0161	0.0165	0.0157
도시대기	서울	광진구	광진구	0.024	0.0172	0.0174	0.0146	0.0139	0.0122
도시대기	서울	성동구	성동구	0.0313	0.0202	0.018	0.0157	0.0155	0.0133
도시대기	서울	도봉구	도봉구	0.0212	0.014	0.0118	0.01	0.009	0.0081
도시대기	서울	서대문구	서대문구	0.015	0.0105	0.0108	0.0124	0.0112	0.0095
도시대기	서울	구로구	구로구	0.0237	0.0161	0.0143	0.0113	0.0103	0.0102
도시대기	서울	서초구	서초구	0.0292	0.0188	0.0181	0.0156	0.0153	0.0136
도시대기	서울	강서구	강서구	0.0284	0.0199	0.0179	0.0139	0.0136	0.0132
도시대기	서울	송파구	송파구	0.0323	0.0228	0.0228	0.018	0.0164	0.016
도시대기	서울	양천구	양천구	0.0287	0.0194	0.018	0.0141	0.0131	0.0131
도시대기	서울	노원구	노원구	0.0258	0.0187	0.015	0.0125	0.0118	0.0107