구분(1),구분(2),구분(3), 구분(4),2023.03,2023.04,2023.05,2023.06,2023.07,2023.08
도시대기,서울,중구,중구,0.52,0.42,0.39,0.39,0.39,0.37
도시대기,서울,종로구,종로구,0.55,0.46,0.42,0.41,0.41,0.38
도시대기,서울,중랑구,중랑구,0.47,0.37,0.33,0.34,0.31,0.27
도시대기,서울,동대문구,동대문구,0.52,0.42,0.39,0.39,0.33,0.35
도시대기,서울,은평구,은평구,0.55,0.48,0.41,0.5,0.4,0.29
도시대기,서울,마포구,마포구,0.52,0.42,0.39,0.39,0.37,0.37
도시대기,서울,영등포구,영등포구,0.52*,0.41,0.39,0.39,0.38,0.27
도시대기,서울,동작구,동작구,0.46,0.36,0.34,0.34,0.31,0.31
도시대기,서울,관악구,관악구,0.56,0.45,0.43,0.41,0.39,0.38
도시대기,서울,강남구,강남구,0.48,0.37,0.35,0.36,0.35,0.34
도시대기,서울,금천구,금천구,0.49,0.41,0.39,0.4,0.32,0.27
도시대기,서울,강동구,강동구,0.43,0.35,0.33,0.35,0.33,0.35
도시대기,서울,강북구,강북구,0.52,0.43,0.37,0.36,0.36,0.33
도시대기,서울,성북구,성북구,0.6,0.37,0.39,0.46,0.42,0.42
도시대기,서울,용산구,용산구,0.55,0.43,0.41,0.42,0.41,0.4
도시대기,서울,광진구,광진구,0.52,0.36,0.28*,0.39,0.29,0.32*
도시대기,서울,성동구,성동구,0.47,0.36,0.33,0.35,0.35,0.32
도시대기,서울,도봉구,도봉구,0.59,0.43*,0.46**,0.49,0.36*,0.47
도시대기,서울,서대문구,서대문구,0.54,0.37,0.35,0.42,0.37,0.3
도시대기,서울,구로구,구로구,0.5,0.41,0.33,0.31,0.28,0.27
도시대기,서울,서초구,서초구,0.52,0.39,0.34,0.34,0.36,0.34
도시대기,서울,강서구,강서구,0.53,0.43,0.42,0.41,0.39,0.39
도시대기,서울,송파구,송파구,0.53,0.42,0.39,0.4,0.38,0.37
도시대기,서울,양천구,양천구,0.54,0.43,0.41,0.41,0.39,0.38
도시대기,서울,노원구,노원구,0.54,0.43,0.38,0.38,0.37,0.35